News_Source,Title,Source_URL,Publish_Date,Category,Summary,Scrape_Date
Utusan Malaysia,Peniaga bimbang sekatan perjalanan dilaksanakan - Utusan Malaysia,https://www.utusan.com.my/terkini/2022/02/peniaga-bimbang-sekatan-perjalanan-dilaksanakan/,2022-02-14,,"CAMERON HIGHLANDS: Peniaga di Cameron Highlands bimbang jika sekatan merentas daerah atau negeri dilaksanakan semula berikutan kes Covid-19 yang semakin meningkat kerana ia akan menjejaskan perniagaan mereka.

Peniaga khuatir perniagaan yang baharu hendak pulih akan kembali terjejas teruk seperti semasa Perintah Kawalan Pergerakan (PKP) dilaksanakan sebelum ini.

Pemilik perniagaan Siqkliz Enterprise yang menjual strawberi, pakaian terpakai dan cenderamata, Mohd. Kazz Zakaria, 39, berkata, walaupun sudah beberapa bulan kembali beroperasi seperti biasa, perniagaannya masih belum mampu menampung kerugian semasa tempoh PKP.

Menurutnya, sewaktu tempoh PKP, Cameron Highlands lengang, menyebabkan perniagaan tidak dapat dijalankan.

“Sewaktu tempoh PKP, memang terduduk jika fikirkan perniagaan. Saya terpaksa mencari alternatif lain bagi memastikan buah strawberi boleh dijual. Kejadian tanah runtuh pada Disember tahun lalu menambahkan lagi kegusaran pengunjung untuk melancong ke sini.

“Selepas kejadian tanah runtuh itu, jumlah pengunjung semakin kurang malah hujung minggu pun macam tiada orang,” katanya ketika ditemui Utusan Malaysia.

Mohd. Kazz berharap kerajaan tidak melaksanakan sekatan disebabkan kes Covid-19 yang meningkat yang akan menjejaskan perniagaannya.

“Saya harap kerajaan tidak membuat sekatan yang boleh menjejaskan perniagaan kerana sewaktu tempoh PKP, kami terpaksa menjualnya ke Lembah Klang tetapi strawberi hanya mampu bertahan selama tiga hari, jika tidak kualitinya akan terjejas,” katanya.

R. Sentharamai, 49, peniaga di Tanah Rata berkata, dia lega apabila dapat berniaga semula namun tetap bimbang jika pergerakan rentas daerah dan negeri tidak dibenarkan.

“Perniagaan kami bergantung sepenuhnya kepada agro dan pelancongan. Sewaktu tempoh PKP, perniagaan tutup, kini hanya buka Jumaat, Sabtu dan Ahad tetapi sekarang pun pelanggan tak ramai,” katanya.

Tantrisyalini, 25, yang bekerja di Kedai Cenderamata Adik Aisyah berkata, gajinya tetap dibayar oleh majikannya yang menjalankan perniagaan secara dalam talian.

“Risau juga jika PKP kembali kerana kami sudah mula beroperasi seperti biasa, banyak kos yang perlu ditanggung,” katanya.",2025-08-07
Utusan Malaysia,Percepat projek naik taraf loji air di Tupah  - Utusan Malaysia,https://www.utusan.com.my/terkini/2021/09/percepat-projek-naik-taraf-loji-air-di-tupah/,2021-09-21,,"ALOR SETAR: Kerajaan negeri sedang berusaha memastikan projek menaik taraf loji air di Tupah, Kuala Muda dekat sini dapat dipercepat berbanding jadual yang ditetapkan pada 2023.

Pengerusi Jawatankuasa Kerjaya, Bekalan Air dan Sumber Tenaga negeri, Datuk Suraya Yaacob berkata, kerajaan negeri akan mengadakan perundingan semula dengan Kementerian Pembangunan Luar Bandar (KPLB) supaya loji air tersebut dapat dilaksanakan segera.

“Lagipun sempena kunjungan Perdana Menteri, Datuk Seri Ismail Sabri serta Menteri Pembangunan Luar Bandar, Datuk Seri Mahdzir Khalid pada 6 September lepas, telah diumumkan loji air di Tupah dinaik taraf secepat mungkin,” katanya.

Beliau berkata demikian ketika menjawab soalan tambahan Hanif Ghazali (Pas Tanjung Dawai) dalam sesi pertanyaan lisan, Sidang Dewan Undangan Negeri (DUN) Kedah di sini hari ini.

Sementara itu, Suraya memberitahu, kesemua kontraktor yang dilantik bagi kelima-lima projek menaik taraf Loji Rawatan Air (LRA) di negeri ini sedang melaksanakan kerja-kerja awalan di tapak projek terlibat.

Katanya, secara umumnya kesemua projek tersebut tdimulakan pada Mei dan Jun 2021 dan dijangka siap pada pertengahan 2023 dan 2024.

“Bagi projek menaik taraf LRA Jenun Baru di Pendang dan Bukit Selambau di Kuala Muda, tarikh siap kerja dijangkakan pada 2 Disember 2023 manakala Projek LRA Sungai Limau di Baling pada 28 Oktober 2023.

“Projek menaik taraf LRA Lubuk Buntar Lama di Bandar Baharu pula dijangka siap pada 27 Mei 2023 dan Projek Menaik Taraf LRA Pelubang, Kubang Pasu siap pada 15 Mei 2024.",2025-08-07
Utusan Malaysia,"PERLIS: Dedak mahal, punca harga ayam naik? - Utusan Malaysia",https://www.utusan.com.my/berita/2021/04/dedak-mahal-punca-harga-ayam-naik/,2021-04-17,,"ARAU: Harga barang basah khususnya ayam segar, sotong dan sawi sejak awal bulan lalu sehingga memasuki Ramadan didapati mengalami kenaikan mendadak di negeri ini.

Tinjauan Utusan Malaysia di Pasar Besar Arau di sini mendapati, ayam segar dijual pada harga RM8.20 sekilogram berbanding RM7.90 pada bulan lalu manakala sotong bersaiz sederhana pula naik RM5 sekilogram iaitu daripada RM20 minggu lalu kepada RM25 ketika ini.

Harga sawi dari Cameron Highlands pula meningkat cukup ketara sehingga 90 peratus sejak awal tahun iaitu daripada RM10 sebakul membabitkan berat kira-kira 10 kilogram meningkat kepada RM90.

Seorang peniaga ayam, Ku Rusmiza Ku Desa, 40, berkata, harga ayam didapati meningkat sebanyak empat kali sejak awal bulan ini.

“Harga ayam pada Ramadan kali ini memang agak meningkat berbanding tahun lepas. Kalau tahun lepas harga adalah sekitar RM7 sekilogram.

“Memang ada juga peniaga makanan merungut dengan kenaikan harga ayam tetapi mereka tiada pilihan lain dan terpaksa beli juga. Saya pun tidak tahu kenapa, mungkin harga dedak naik menyebabkan pembekal menaikkan harga pada kami,” katanya.

Seorang peniaga sayur, Marzita Othman, 40, pula berkata, dia terpaksa mengambil bekalan sawi dari Thailand berikutan sawi Cameron Highlands mengalami kenaikan cukup tinggi.

“Oleh kerana harga yang terlalu mahal, saya memilih untuk mengambil sawi dari Thailand iaitu RM50 untuk 10 kilogram. Sawi ini kemudian dijual pada harga RM8 sekilogram kepada pelanggan,” katanya.

Peniaga ikan, Rizal Ali, 48, berkata, harga ikan agak stabil, cuma terdapat sedikit kenaikan bagi sotong bersaiz sederhana kecil iaitu RM25 sekilogram berbanding RM20 sekilogram kira-kira seminggu lalu.

“Kebiasaan memang akan ada kenaikan harga menjelang Ramadan dan minggu pertama puasa, namun selepas itu harga turun balik sebelum meningkat kembali secara mendadak menjelang Aidilfitri,” katanya.

Sementara itu, Pengarah Perdagangan Dalam Negeri dan Hal Ehwal Pengguna negeri, Norazah Jaapar memberitahu, terdapat peningkatan harga bagi ayam segar standard iaitu dari RM7.70 sekilogram kepada RM8.50 iaitu melibatkan kenaikan 6.25 peratus.

Katanya, sayur-sayuran seperti sawi terdapat kenaikan RM1 daripada RM6 kepada RM7 sekilogram.

“Sotong pula mencatatkan kenaikan harga sehingga 40 peratus iaitu RM35 sekilogram berbanding biasa RM25 sekilogram.

“Hasil pemeriksaan lanjut mendapati kenaikan harga disebabkan berlakunya permintaan tinggi terhadap sayur sawi dan sotong selain terdapat kekurangan bekalan daripada pengedar dan pembekal. Peningkatan harga bagi ayam segar standard pula disebabkan harga yang diperoleh oleh peruncit daripada pembekal ayam segar agak tinggi,” katanya.",2025-08-07
Utusan Malaysia,Agrobank sedia pembiayaan RM12 juta bantu 40 petani,https://www.utusan.com.my/ekonomi/2023/02/agrobank-sedia-pembiayaan-rm12-juta-bantu-40-petani/,2023-02-14,,PETALING JAYA: Agrobank menyediakan peruntukan pembiayaan sehingga RM12 juta kepada 40 petani kontrak daripada kumpulan B40 untuk dibimbing dan dibantu menjadi usahawan nanas berjaya dalam tempoh empat hingga lima tahun. Ia dilaksanakan menerusi Program Agro  Komuniti B40 Usahawan Peladang Kontrak Tanaman Nanas MD2. Program ini dianjurkan dengan usahasama strategik antara syarikat Aqina Borneo Sdn. Bhd.,2025-08-07
Utusan Malaysia,Bekas Pengurus Felda didakwa 13 pertuduhan pecah amanah - Utusan Malaysia,https://www.utusan.com.my/berita/2024/02/bekas-pengurus-felda-didakwa-13-pertuduhan-pecah-amanah/,2024-02-27,,"KUANTAN: Seorang bekas pengurus di Felda Lepar Utara 1 mengaku tidak bersalah di Mahkamah Sesyen di sini hari ini atas 13 pertuduhan pecah amanah membabitkan wang berjumlah lebih RM54,000 pada 2020. Tertuduh, Shahril Shahadan, 41, membuat pengakuan itu selepas pertuduhan terhadapnya dibacakan di hadapan Hakim Mohd. Sabri Ismail. Mengikut kertas pertuduhan, Shahril didakwa menyalahgunakan harta iaitu 13 keping cek bernilai RM1,400 hingga RM5,000 yang keseluruhan berjumlah RM54,742.",2025-08-07
Utusan Malaysia,"‘Wakili Malaysia satu penghormatan, bukan satu bebanan’",https://www.utusan.com.my/terkini/2023/01/wakili-malaysia-satu-penghormatan-bukan-satu-bebanan/,2023-01-19,,"JIKA aktres Tan Sri Michelle Yeoh mencuri tumpuan atas kemenangan anugerah Golden Globe selaku Pelakon Wanita Terbaik, seorang lagi bernama Michelle turut meniti di bibir peminat sukan, khususnya badminton, sepanjang minggu lalu.

Ketua Pegawai Eksekutif Akademi Badminton Malaysia (ABM), Michelle Chai, bukan orang baharu dalam sukan negara.

Pernah menjawat pelbagai jawatan dalam Konfederasi Bolasepak Asia (AFC) sehingga dianggap sebagai anak didik kepada pentadbir bertaraf legenda, mendiang Datuk Peter Velappan, Michelle kembali ke arena badminton tahun lalu, selepas tiga tahun.

Dari 2017 hingga 2019, Michelle, seorang graduan dari United Kingdom, memegang jawatan Pengurus Besar Persatuan Badminton Malaysia (BAM). Kemudian, beliau dilantik ketua pegawai operasi Majlis Olimpik Malaysia (MOM) sehingga kembali ke BAM untuk menerajui ABM pada Oktober tahun lalu. Beliau juga pernah bertugas sebagai Pengarah Teknikal dan Pertandingan Jawatankuasa Liga Profesional naungan Persatuan Bolasepak Emiriah Arab Bersatu (UAE).

Secara tiba-tiba, Michelle mengeluarkan kenyataan terhadap persembahan pemain badminton negara selepas Terbuka Malaysia baru-baru ini.

Dalam sidang akhbar, Michelle yang biasanya bekerja di sebalik tabir, mengeluarkan kata-kata: “Mewakili Malaysia adalah satu penghormatan, bukan satu bebanan.”

Beliau mengeluarkan amaran kepada barisan pemain negara yang mengecewakan harapan penyokong. Tiada seorangpun wakil negara melepasi peringkat suku akhir.

Wakil BAM yang melangkah sejauh itu ialah beregu campuran Chen Tang Jie-Toh Ee Wei, yang tewas kepada pasangan juara dunia 2021, Dechapol Puavaranukroh-Sapsiree Taerattanachai.

Beregu lelaki yang muncul juara dunia tahun lalu, Aaron Chia-Soh Wooi Yik, tersangkut di pusingan kedua selepas tewas kepada Liu Yuchen-Qu Xuanyi.

Kekalahan pasangan beregu wanita No.6 dunia, Pearly Tan-M. Thinaah, yang juga juara Terbuka Perancis tahun lalu, di tangan Gabriela-Stefani Stoeva di pusingan pertama turut mengundang keresahan peminat badminton negara memandangkan ia kali pertama sejak 2015 Malaysia tidak mempunyai sebarang wakil di peringkat separuh akhir Terbuka Malaysia.

Kenyataan Viktor Axelsen yang memuji kekebalan Datuk Lee Chong Wei di tempat sendiri di Axiata Arena seolah-olah menceritakan bahawa wakil-wakil kategori perseorangan lelaki negara tidak lagi menerbitkan rasa gerun dan hormat kawan dan lawan.

Berani mengambil tanggungjawab, jangan berselindung dan berkorban antara bait-bait perkataan yang Michelle gunakan bagi merumuskan prestasi skuad badminton di Terbuka Malaysia.

Namun sesuai dengan latar belakangnya, kenyataan Michelle tidak harus dihadkan kepada atlet badminton.

Mewakili Malaysia adalah satu penghormatan yang harus dipupuk, dibelai dan dibela sepenuh jiwa. Kita faham setiap atlet ada pasang surutnya namun mereka harus menerima hakikat, jalan hidup yang mereka pilih menjadikan mereka golongan elit.

Ke mana sahaja kaki mereka melangkah, mereka membawa nama Malaysia.

Sama ada menghayun raket, memakai sepatu bola, melentukkan badan, melakukan terjunan, mengayuh basikal mahupun meluncur ais, mewakili Malaysia adalah satu penghormatan buat segelintir individu bergelar atlet negara.

Dalam menerima penghormatan itu, ada harga yang harus mereka bayar. Pengorbanan dalam pelbagai bentuk satu daripadanya.

Yang jelas, kenyataan Michelle harus merobek angan-angan atlet yang mahu menikmati pulangan tanpa membuat pelaburan sewajarnya.",2025-08-07
Utusan Malaysia,Dibayar RM350 seludup PATI guna kereta sewa - Utusan Malaysia,https://www.utusan.com.my/terkini/2021/12/dibayar-rm350-seludup-pati-guna-kereta-sewa/,2021-12-28,,"TELUK INTAN: Polis Daerah Hilir Perak menggagalkan cubaan sepasang suami isteri warga Indonesia ‘menyelusup’ masuk ke negeri ini menggunakan kereta sewa selepas ditahan dalam sekatan jalan raya (SJR) di Kilometer 30, Jalan Feri dekat Hutan Melintang, di sini, semalam.

Lelaki berusia 50 tahun dan isterinya berusia 49 tahun ditahan bersama pemandu kereta sewa berusia 62 tahun setelah dilihat dalam keadaan mencurigakan ketika melalui SJR pada pukul 9 pagi.

Ketua Polis Daerah Hilir Perak, Asisten Komisioner Ahmad Adnan Basri berkata, pemeriksaan ke atas pasangan suami isteri itu gagal mengemukakan pasport dan dokumen perjalanan diri yang sah.

Katanya, tangkapan dilakukan ke atas pemandu kereta sewa jenis Proton Waja kerana dipercayai melindungi warga asing.

“Siasatan mendapati lelaki warga tempatan itu mengambil pasangan suami isteri warga asing tersebut dari Kampung Merbau Berdarah di Sungai Besar, Selangor untuk dibawa ke Ipoh bagi tujuan mencari pekerjaan. Lelaki terbabit dibayar sebanyak RM350 oleh pasangan berkenaan untuk perkhidmatan kereta sewa yang dijalankannya,” katanya di sini hari ini.

Menurut beliau, ketiga-tiga mereka ditahan dan dibawa pulang ke Ibu Pejabat Polis Daerah (IPD) Hilir Perak untuk melengkapkan siasatan.

“Siasatan ke atas pemandu kenderaan itu dijalankan mengikut Seksyen 55E Akta Imigresen 1959/63 kerana disyaki membawa dan melindungi warga asing. Pasangan warga asing itu pula ditahan di bawah Seksyen (6)(1)(c) akta sama kerana gagal mengemukakan dokumen perjalanan diri yang sah,” katanya.",2025-08-07
Utusan Malaysia,Ibu muda lahirkan kembar tujuh secara normal - Utusan Malaysia,https://www.utusan.com.my/nasional/2019/02/ibu-muda-lahirkan-kembar-tujuh-secara-normal/,2019-02-16,,"BAGHDAD 16 Feb. – Seorang ibu muda selamat melahirkan bayi kembar tujuh secara normal disebuah hospital di wilayah Diyali di timur Iraq baru-baru ini, Daily Mail melaporkan, enam bayi perempuan dan seorang bayi lelaki yang dilahirkan wanita berusia 25 tahun berada dalam keadaan sihat. Kes melahirkan bayi kembar tujuh itu dipercayai pertama kali berlaku di negara Timur Tengah.",2025-08-07
Utusan Malaysia,"Perkongsian pengalaman tunai haji, hanya satu dakwah kecil - Aliff Satar - Utusan Malaysia",https://www.utusan.com.my/nasional/2023/08/perkongsian-pengalaman-tunai-haji-hanya-satu-dakwah-kecil-aliff-satar/,2023-08-31,,"PETALING JAYA: Artis versatil, Aliff Satar menganggap perkongsian perjalanan dan pengalaman menunaikan haji baru-baru ini sebagai satu dakwah kecil terutama kepada generasi muda yang meminatinya.

Kata penyanyi itu, perjalanan menunaikan haji sebenarnya memberi impak berbeza dalam hidupnya dan dia mahu berkongsi perkara baik walaupun bukan keseluruhan pengalamannya.

“Bila bercerita tentang sesuatu yang terlalu personal buat saya, itu dianggap sebagai dakwah kecil. Terutama anak-anak muda. Ada peminat berusia 20-an datang jumpa saya dan mengakui minat dari kecil.

“Sedar tak sedar, saya sudah 17 tahun dalam industri seni. Saya bermula di usia 16 tahun. Jadi ada peminat mula kenal saya sejak kanak-kanak.

“Saya sekadar bercerita, kongsi pengalaman yang mungkin boleh memberi inspirasi kepada sesiapa sahaja yang menonton,” katanya.

Aliff ditemui usai majlis kesyukuran dan doa selamat tamat penggambaran filem Perjanjian Anak Syaitan 2 yang turut dihadiri pengarah, Dr. Ahmad Idham dan pelakon, Eyka Farhana.

Diaju soalan adakah dia akan mula selektif selepas bergelar haji, jelas Aliff, dia memilih bukan dari segi watak sebaliknya, perlu melihat jalan cerita dan bagaimana dia membawakan watak tersebut.

“Kalau watak ini, saya tidak kisah. Tak ada selektif sangat. Sebab sebelum menunaikan haji pun saya ada disiplin sendiri dalam apa sahaja yang saya lakukan, bukan hanya lakonan.

“Sebenarnya bergantung kepada bagaimana saya mencorakkan watak itu. Bukan selektif tetapi ada batas-batas yang kita harus jaga sebagai seorang muslim,” ujarnya.",2025-08-07
Utusan Malaysia,"JDT belasah Kelantan FC, catat jaringan terbesar 10-0 - Utusan Malaysia",https://www.utusan.com.my/berita/2023/08/jdt-belasah-kelantan-fc-catat-jaringan-terbesar-10-0/,2023-08-19,,"ISKANDAR PUTERI: Juara bertahan, Johor Darul Ta’zim (JDT) melangkah ke pusingan suku akhir dengan bergaya selepas berkenduri gol 10-0 ke atas Kelantan FC pada aksi  pusingan kedua pusingan 16 Piala Malaysia di Stadium Sultan Ibrahim, sebentar tadi.

Keputusan tersebut menyaksikan Harimau Selatan mara ke pusingan seterusnya dengan agregat 15-1, sekali gus mencatat rekod jaringan gol terbesar dalam perlawanan musim ini.

Beraksi di laman sendiri, skuad kendalian Esteban Solari bermula garang dan hampir membuka jaringan pada minit kelima, namun percubaan Bergson Da Silva yang sudah menewaskan penjaga gol, Muhammad Johan Shah Zidane Tendot Johari Tendot dinafikan pemain pertahanan sebelum melepasi garisan gol.

Skuad Harimau Selatan itu berjaya membuka jaringan pada minit ke-20 menerusi Bergson yang bijak melepasi kawalan pertahanan The Red Warriors sebelum melepaskan rembatan deras melepasi jangkauan Muhammad Johan Shah Zidane.

Empat minit berselang, pemain import baharu JDT dari Jepun, Takahiro Kunimoto tidak menunggu lama untuk menjaringkan gol pertamanya pada aksi malam ini.

Takahiro kemudiannya mempamerkan ketajaman sentuhannya apabila menjaringkan gol keduanya setelah bersahaja melepasi kawalan pertahanan pelawat sebelum menjaringkan gol ketiga perlawanan.

Sebelum tamat babak pertama, Bergson menambah jaringan peribadinya apabila meledak gol keempat JDT apabila menanduk masuk bola yang menerjah gawang skuad Gomo Kelate Gomo pada minit ke-43.

Bersambung babak kedua, JDT hampir menambah jaringan  namun rembatan lencong Arif Aiman Hanapi pada minit ke-49 sedikit tersasar.

JDT terus ganas memburu gol dan hasilnya berjaya diterjemahkan apabila Juan Muniz meledak gol kelima menerusi rembatan dalam kotak penalti dengan memanfaatkan umpanan Arif Aiman pada minit ke-53.

Daryl Sham yang dibawa masuk pada babak kedua oleh Solari tidak menunggu lama untuk memahatkan namanya dalam senarai penjaring pada minit ke-59 setelah mudah menghukum kesilapan lawan di dalam kotak penalti.

Dalam tempoh kurang lima minit, Heberty Fernandes dan Arif Aiman masing-masing meledakkan satu gol pada minit ke-61 dan ke-63 bagi menambah derita buat pasukan kendalian Angel Alfredo Vera.

Langkah Harimau Selatan tidak terhenti di situ, malah terus buas melakukan serangan bagi mẹmbuatkan luka Kelantan yang tewas 0-8 kepada Terengganu FC pada aksi Liga Super sebelum ini terus berdarah dengan jaringan yang besar.

Pada minit ke-72, Bergson melengkapkan hatriknya pada itu selepas mudah meledakkan gol kesembilan bagi JDT melepasi jangkauan Muhammad Johan Shah Zidane.

Ketika perlawanan hampir ditamatkan, pemain gantian, Ahmad Aysar Hadi Mohd. Shapri menjaringkan gol ke-10 buat JDT, sekali gus mencatatkan sejarah jaringan terbesar dalam perlawanan musim ini.",2025-08-07
Utusan Malaysia,Kaedah tumbangkan lembu jantan ke tanah - Utusan Malaysia,https://www.utusan.com.my/nasional/2018/11/kaedah-tumbangkan-lembu-jantan-ke-tanah/,2018-11-06,,"Saat artis seni mempertahankan diri dari China, Li Zhen, 21, melangkah masuk ke dalam gelanggang gusti lembu jantan, perasaan gerun menyelubungi dirinya. “Saya sangat takut apatah lagi melihatkan haiwan itu seekor lembu jantan,” katanya. Dia sanggup melalui risiko patah kaki akibat dihempap haiwan berat itu, dirodok malah dirempuh tanpa belas kasihan. Bagaimanapun, Li telah menjalani latihan intensif untuk mengatasi ketakutan itu.",2025-08-07
